epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.26864,1.63988,3.32613,1.96295,0.05212,0.15336,0.03817,0.02207,1.55343,3.1875,1.84361,1.667e-05,1.667e-05,1.667e-05
2,6.38516,1.67841,3.31995,2.14172,0.10211,0.25105,0.07247,0.04009,1.48022,3.10502,1.79439,4.97625e-05,4.97625e-05,4.97625e-05
3,7.89668,1.56338,3.22933,1.89967,0.12323,0.45273,0.11103,0.05485,1.35855,2.96628,1.71442,8.25248e-05,8.25248e-05,8.25248e-05
4,9.74278,1.48265,3.0826,1.84369,0.12443,0.90546,0.31581,0.1735,1.1466,2.52645,1.56961,0.000114957,0.000114957,0.000114957
5,11.5617,1.38052,2.73047,1.77071,0.6254,0.66964,0.65693,0.41741,1.06461,1.96131,1.4712,0.000147059,0.000147059,0.000147059
6,13.2202,1.20776,2.28776,1.52989,0.54795,0.8792,0.78471,0.51725,1.01341,1.4717,1.41316,0.000178832,0.000178832,0.000178832
7,14.5233,1.17864,1.86595,1.49385,0.64846,0.87605,0.84021,0.59109,0.98901,1.21276,1.40165,0.000210274,0.000210274,0.000210274
8,15.997,1.09974,1.43107,1.47792,0.76028,0.86215,0.9047,0.64541,0.93467,1.10611,1.38201,0.000241386,0.000241386,0.000241386
9,17.4711,1.05118,1.28282,1.41992,0.74064,0.86425,0.90406,0.64614,0.92347,1.11123,1.38531,0.000272168,0.000272168,0.000272168
10,19.2483,1.09426,1.22454,1.40505,0.79227,0.89419,0.91557,0.65411,0.91604,1.1008,1.39403,0.00030262,0.00030262,0.00030262
11,20.8714,0.99631,1.05141,1.43426,0.83097,0.91387,0.92133,0.67899,0.90184,1.07378,1.40801,0.000332742,0.000332742,0.000332742
12,22.2574,1.0045,1.08524,1.4984,0.81583,0.92251,0.92618,0.68954,0.89915,1.01668,1.41299,0.000362533,0.000362533,0.000362533
13,23.6366,0.9907,1.03866,1.45353,0.837,0.96339,0.92421,0.69803,0.88939,0.94921,1.4009,0.000391995,0.000391995,0.000391995
14,25.0712,0.93289,0.93565,1.43244,0.82051,0.97002,0.9278,0.71085,0.87834,0.91157,1.37793,0.000421127,0.000421127,0.000421127
15,26.7509,0.88982,0.91216,1.4655,0.81428,0.98214,0.94646,0.72337,0.88163,0.9027,1.36031,0.000449928,0.000449928,0.000449928
16,28.251,0.98084,0.96304,1.35757,0.82639,0.98214,0.96351,0.73565,0.8864,0.87815,1.34998,0.0004784,0.0004784,0.0004784
17,30.4007,0.95131,0.91211,1.42043,0.84813,0.98214,0.96867,0.73994,0.87293,0.84458,1.34957,0.000506541,0.000506541,0.000506541
18,31.6948,0.9129,0.86171,1.37194,0.87906,0.98214,0.97494,0.75562,0.85691,0.8071,1.37352,0.000534353,0.000534353,0.000534353
19,33.0483,0.91903,0.82214,1.45521,0.94857,0.94588,0.97641,0.75671,0.85608,0.77988,1.40486,0.000561834,0.000561834,0.000561834
20,34.5245,0.89614,0.81169,1.44414,0.94674,0.9807,0.97793,0.76199,0.84569,0.74545,1.39733,0.000588985,0.000588985,0.000588985
21,35.7484,0.83548,0.73276,1.36294,0.94698,0.98214,0.97886,0.75942,0.83792,0.70489,1.37852,0.000615806,0.000615806,0.000615806
22,36.8799,0.87184,0.73574,1.35911,0.96262,0.9794,0.97907,0.75628,0.86012,0.6665,1.36172,0.000642298,0.000642298,0.000642298
23,38.0901,0.94531,0.71549,1.43291,0.95876,0.97976,0.97759,0.7754,0.83318,0.62435,1.39761,0.000668459,0.000668459,0.000668459
