epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.02399,1.39357,2.85305,1.88132,0.69332,0.68385,0.70172,0.50799,0.98094,1.51256,1.47293,0.0001667,0.0001667,0.0001667
2,12.8743,1.07209,1.43721,1.51202,0.78276,0.83621,0.89823,0.66885,0.90102,1.12655,1.44141,0.000348337,0.000348337,0.000348337
3,16.4821,0.95678,1.1414,1.45639,0.91718,0.84199,0.93176,0.73047,0.86124,0.99326,1.4387,0.000528159,0.000528159,0.000528159
4,20.8775,0.89675,0.96045,1.45128,0.87801,0.91959,0.94768,0.75829,0.82311,0.8103,1.37648,0.000706165,0.000706165,0.000706165
5,24.6457,0.83332,0.74517,1.38965,0.91294,0.92779,0.96227,0.7569,0.81392,0.72513,1.48299,0.000882356,0.000882356,0.000882356
6,27.7746,0.86095,0.74893,1.4746,0.92,0.95092,0.96805,0.77991,0.77994,0.69241,1.46495,0.00105673,0.00105673,0.00105673
7,31.1499,0.84293,0.71123,1.41786,0.95866,0.9198,0.9657,0.76894,0.82167,0.66889,1.54911,0.00122929,0.00122929,0.00122929
8,34.2781,0.82271,0.63633,1.42588,0.94501,0.9105,0.95991,0.77237,0.80835,0.69482,1.50985,0.00140004,0.00140004,0.00140004
9,37.3344,0.82429,0.64916,1.47466,0.91373,0.92844,0.96727,0.7569,0.83493,0.62547,1.57319,0.00156897,0.00156897,0.00156897
10,40.4652,0.80312,0.61222,1.46066,0.9643,0.88549,0.96482,0.76662,0.82692,0.59681,1.51697,0.00159274,0.00159274,0.00159274
11,43.6797,0.77604,0.58804,1.41248,0.96089,0.9173,0.96398,0.78601,0.79252,0.59319,1.45413,0.00158448,0.00158448,0.00158448
12,47.2335,0.78234,0.54448,1.43401,0.97207,0.92873,0.97387,0.78605,0.80239,0.54857,1.42689,0.00157623,0.00157623,0.00157623
