image,class_id,class_name,confidence,cx_px,cy_px,w_mm,h_mm,short_mm,long_mm,angle_deg,box_index,size_label
04eee9b2-IMG_3206.JPEG,0,Parafuso,0.9528886079788208,638.1276245117188,843.7574462890625,38.61,17.0,17.0,38.61,0.09,0,SHORTEST
04eee9b2-IMG_3206.JPEG,0,Parafuso,0.9435423016548157,666.722412109375,1240.5152587890625,56.39,17.77,17.77,56.39,0.2,1,LONGEST
0ba11135-IMG_3264.JPEG,0,Parafuso,0.9361009001731873,1011.6791381835938,132.3517303466797,18.35,42.89,18.35,42.89,1.09,0,SHORTEST
0ba11135-IMG_3264.JPEG,0,Parafuso,0.882924497127533,888.9970092773438,429.9541015625,74.03,23.75,23.75,74.03,0.0,1,LONGEST
0bc4a5dd-IMG_3404.JPEG,1,Porca,0.9687254428863525,455.6198425292969,776.8551635742188,15.62,14.76,14.76,15.62,0.01,0,
0bc4a5dd-IMG_3404.JPEG,1,Porca,0.9633893966674805,1436.691162109375,697.7673950195312,18.39,16.94,16.94,18.39,0.01,1,
0bc4a5dd-IMG_3404.JPEG,0,Parafuso,0.9388905763626099,741.0199584960938,731.3585205078125,47.19,16.92,16.92,47.19,1.45,2,LONGEST
0bc4a5dd-IMG_3404.JPEG,0,Parafuso,0.9387360215187073,1017.8287963867188,700.1027221679688,35.42,17.26,17.26,35.42,1.57,3,SHORTEST
0cdc4eb5-IMG_3315.JPEG,1,Porca,0.9553187489509583,663.9300537109375,1401.5140380859375,22.99,23.05,22.99,23.05,1.56,0,
0cdc4eb5-IMG_3315.JPEG,1,Porca,0.9520046710968018,818.2691040039062,523.8370361328125,17.34,18.17,17.34,18.17,0.02,1,
0cdc4eb5-IMG_3315.JPEG,0,Parafuso,0.9395606517791748,1050.194091796875,977.3031616210938,54.62,19.79,19.79,54.62,1.07,2,LONGEST
0cdc4eb5-IMG_3315.JPEG,0,Parafuso,0.9251344799995422,506.89825439453125,848.2205200195312,25.02,41.5,25.02,41.5,0.8,3,SHORTEST
0de6f8ec-IMG_3341.JPEG,1,Porca,0.937872588634491,1114.632080078125,299.26177978515625,24.28,20.23,20.23,24.28,0.02,0,
0de6f8ec-IMG_3341.JPEG,0,Parafuso,0.9287545680999756,649.48095703125,462.51806640625,28.83,57.14,28.83,57.14,1.1,1,SHORTEST
